date,daily_18_24,total_18_24,people_18_24,coverage_people_18_24,fully_18_24,coverage_fully_18_24,daily_25_34,total_25_34,people_25_34,coverage_people_25_34,fully_25_34,coverage_fully_25_34,daily_35_44,total_35_44,people_35_44,coverage_people_35_44,fully_35_44,coverage_fully_35_44,daily_45_54,total_45_54,people_45_54,coverage_people_45_54,fully_45_54,coverage_fully_45_54,daily_55_64,total_55_64,people_55_64,coverage_people_55_64,fully_55_64,coverage_fully_55_64,daily_65_74,total_65_74,people_65_74,coverage_people_65_74,fully_65_74,coverage_fully_65_74,daily_75_115,total_75_115,people_75_115,coverage_people_75_115,fully_75_115,coverage_fully_75_115,daily_undefined,total_undefined,daily_18_49,total_18_49,daily_50_70,total_50_70,daily_71_79,total_71_79,daily_80_115,total_80_115
2021-02-27,33,33,,0.00%,,0.00%,82,82,,0.00%,,0.00%,133,133,,0.00%,,0.00%,101,101,,0.00%,,0.00%,24,24,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,304,304,69,69,0,0,0,0
2021-02-28,0,33,,0.00%,,0.00%,1,83,,0.00%,,0.00%,0,133,,0.00%,,0.00%,0,101,,0.00%,,0.00%,0,24,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,1,305,0,69,0,0,0,0
2021-03-01,1129,1162,,0.00%,,0.00%,4429,4512,,0.00%,,0.00%,6062,6195,,0.00%,,0.00%,4765,4866,,0.00%,,0.00%,1639,1663,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,,0.00%,,0.00%,0,0,14358,14663,3666,3735,0,0,0,0
2021-03-02,1244,2406,,0.00%,,0.00%,3896,8408,,0.00%,,0.00%,4822,11017,,0.00%,,0.00%,3578,8444,,0.00%,,0.00%,1188,2851,,0.00%,,0.00%,2,2,,0.00%,,0.00%,2,2,,0.00%,,0.00%,0,0,12029,26692,2700,6435,2,2,1,1
2021-03-03,1743,4149,,0.00%,,0.00%,5581,13989,,0.00%,,0.00%,7062,18079,,0.00%,,0.00%,5189,13633,,0.00%,,0.00%,1722,4573,,0.00%,,0.00%,1,3,,0.00%,,0.00%,2,4,,0.00%,,0.00%,2,2,17332,44024,3965,10400,1,3,2,3
2021-03-04,826,4975,,0.00%,,0.00%,2578,16567,,0.00%,,0.00%,2862,20941,,0.00%,,0.00%,2083,15716,,0.00%,,0.00%,622,5195,,0.00%,,0.00%,0,3,,0.00%,,0.00%,0,4,,0.00%,,0.00%,2,4,7479,51503,1492,11892,0,3,0,3
2021-03-05,760,5735,,0.00%,,0.00%,2748,19315,,0.00%,,0.00%,2831,23772,,0.00%,,0.00%,2135,17851,,0.00%,,0.00%,720,5915,,0.00%,,0.00%,4,7,,0.00%,,0.00%,0,4,,0.00%,,0.00%,0,4,7570,59073,1627,13519,1,4,0,3
2021-03-06,0,5735,,0.00%,,0.00%,0,19315,,0.00%,,0.00%,0,23772,,0.00%,,0.00%,1,17852,,0.00%,,0.00%,0,5915,,0.00%,,0.00%,0,7,,0.00%,,0.00%,0,4,,0.00%,,0.00%,0,4,0,59073,1,13520,0,4,0,3
2021-03-07,0,5735,,0.00%,,0.00%,0,19315,,0.00%,,0.00%,0,23772,,0.00%,,0.00%,0,17852,,0.00%,,0.00%,0,5915,,0.00%,,0.00%,0,7,,0.00%,,0.00%,0,4,,0.00%,,0.00%,0,4,0,59073,0,13520,0,4,0,3
2021-03-08,137,5872,,0.00%,,0.00%,684,19999,,0.00%,,0.00%,897,24669,,0.00%,,0.00%,683,18535,,0.00%,,0.00%,25750,31665,,0.00%,,0.00%,2,9,,0.00%,,0.00%,3,7,,0.00%,,0.00%,8,12,2087,61160,26065,39585,2,6,2,5
2021-03-09,413,6285,,0.00%,,0.00%,1152,21151,,0.00%,,0.00%,1288,25957,,0.00%,,0.00%,1042,19577,,0.00%,,0.00%,17953,49618,,0.00%,,0.00%,1,10,,0.00%,,0.00%,4,11,,0.00%,,0.00%,0,12,3432,64592,18416,58001,3,9,2,7
2021-03-10,596,6881,,0.00%,,0.00%,1852,23003,,0.00%,,0.00%,1895,27852,,0.00%,,0.00%,1617,21194,,0.00%,,0.00%,19222,68840,,0.00%,,0.00%,6,16,,0.00%,,0.00%,2,13,,0.00%,,0.00%,8,20,5213,69805,19973,77974,2,11,2,9
2021-03-11,823,7704,,0.00%,,0.00%,2227,25230,,0.00%,,0.00%,2678,30530,,0.00%,,0.00%,3463,24657,,0.00%,,0.00%,13153,81993,,0.00%,,0.00%,81,97,,0.00%,,0.00%,6,19,,0.00%,,0.00%,6,26,7341,77146,15075,93049,13,24,2,11
2021-03-12,599,8303,,0.00%,,0.00%,5700,30930,,0.00%,,0.00%,7386,37916,,0.00%,,0.00%,5578,30235,,0.00%,,0.00%,3031,85024,,0.00%,,0.00%,424,521,,0.00%,,0.00%,36,55,,0.00%,,0.00%,0,26,16744,93890,5916,98965,85,109,9,20
2021-03-13,260,8563,,0.00%,,0.00%,2346,33276,,0.00%,,0.00%,3310,41226,,0.00%,,0.00%,2593,32828,,0.00%,,0.00%,1592,86616,,0.00%,,0.00%,303,824,,0.00%,,0.00%,25,80,,0.00%,,0.00%,0,26,7331,101221,3016,101981,72,181,10,30
2021-03-14,0,8563,,0.00%,,0.00%,0,33276,,0.00%,,0.00%,1,41227,,0.00%,,0.00%,0,32828,,0.00%,,0.00%,0,86616,,0.00%,,0.00%,0,824,,0.00%,,0.00%,0,80,,0.00%,,0.00%,0,26,1,101222,0,101981,0,181,0,30
2021-03-15,234,8797,,0.00%,,0.00%,1613,34889,,0.00%,,0.00%,2128,43355,,0.00%,,0.00%,2863,35691,,0.00%,,0.00%,2831,89447,,0.00%,,0.00%,1575,2399,,0.00%,,0.00%,37,117,,0.00%,,0.00%,2,28,4838,106060,6378,108359,54,235,11,41
