date,daily_teachers,total_teachers,daily_elepem,total_elepem,daily_chronic,total_chronic,daily_undefined,total_undefined,daily_dialysis,total_dialysis,daily_health,total_health,daily_deprived_liberty,total_deprived_liberty,daily_essential,total_essential,daily_no_risk,total_no_risk,daily_pregnant,total_pregnant
2021-02-27,0,0,0,0,0,0,0,0,0,0,313,313,3,3,58,58,0,0,0,0
2021-02-28,0,0,0,0,0,0,0,0,0,0,1,314,0,3,0,58,0,0,0,0
2021-03-01,11611,11611,140,140,2,2,1,1,0,0,196,510,7,10,6055,6113,13,13,0,0
2021-03-02,8597,20208,30,170,2,4,0,1,0,0,83,593,0,10,6013,12126,9,22,0,0
2021-03-03,12181,32389,70,240,1,5,0,1,0,0,105,698,3,13,8919,21045,19,41,0,0
2021-03-04,4544,36933,66,306,1,6,0,1,10,10,39,737,0,13,4307,25352,7,48,0,0
2021-03-05,5072,42005,21,327,3,9,1,2,142,152,39,776,4,17,3910,29262,8,56,0,0
2021-03-06,0,42005,0,327,1,10,0,2,0,152,0,776,0,17,0,29262,0,56,0,0
2021-03-07,0,42005,0,327,0,10,0,2,0,152,0,776,0,17,0,29262,0,56,0,0
2021-03-08,1582,43587,24,351,5275,5285,0,2,144,296,349,1125,8,25,1584,30846,19193,19249,0,0
2021-03-09,2616,46203,13,364,4205,9490,0,2,124,420,255,1380,6,31,1178,32024,13454,32703,0,0
2021-03-10,3628,49831,21,385,5242,14732,0,2,142,562,412,1792,3,34,1854,33878,13892,46595,0,0
2021-03-11,2408,52239,18,403,6508,21240,6,8,70,632,1067,2859,5,39,2361,36239,9995,56590,0,0
2021-03-12,8,52247,0,403,115,21355,1615,1623,0,632,20242,23101,544,583,213,36452,41,56631,0,0
2021-03-13,0,52247,3,406,28,21383,31,1654,0,632,10288,33389,16,599,63,36515,11,56642,0,0
2021-03-14,0,52247,0,406,0,21383,0,1654,0,632,0,33389,0,599,0,36515,0,56642,0,0
2021-03-15,195,52442,1,407,1713,23096,19,1673,19,651,6401,39790,8,607,307,36822,3009,59651,0,0
